ANO;MES;PERFIL_CARGA;TIPO_MERCADORIA;MOVIMENTACAO;NAVEGACAO;TIPO_INSTALACAO;TOTAL_TONELADAS;TOTAL_TEU;TOTAL_UNIDADE
2020;1;GRANEIS DE ORIGEM VEGETAL;ORTOXILENO XILENO MISTOALCOOL;;IMPORT/EXPORT/CABOTAGEM;PORTO ORGANIZADO;72.601;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;P D Q;;IMPORT/EXPORT/LONGO CURSO;PORTO ORGANIZADO;1.067.711;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;P D Q;;IMPORT/EXPORT/LONGO CURSO;TUP;29.659;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;PRODUTOS QUIMICOS DIVERSOS;;IMPORT/EXPORT/LONGO CURSO;PORTO ORGANIZADO;1.067.711;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;PRODUTOS QUIMICOS DIVERSOS;;IMPORT/EXPORT/LONGO CURSO;TUP;29.659;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;SUCO A GRANEL;;EXPORTACAO/LONGO CURSO;PORTO ORGANIZADO;23.598;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;VARIOS;;EXPORTACAO/LONGO CURSO;TUP;6.281;790;10
2020;1;GRANEIS DE ORIGEM VEGETAL;VARIOS;;IMPORT/EXPORT/LONGO CURSO;TUP;13.285;7128;36
2020;1;GRANEIS DE ORIGEM VEGETAL;VEICULOS;;IMP. CABOTAGEM/EXP. LONGO CURS;TUP;17.645;4255;180
2020;1;GRANEIS DE ORIGEM VEGETAL;VEICULOS;;IMPORT/EXPORT/LONGO CURSO;TUP;20.878;13687;175
2020;1;GRANEIS DE ORIGEM VEGETAL;VEICULOS/MAQUINAS/CARGAGERAL;;IMPORT/EXPORT/LONGO CURSO;TUP;2.896;822;44
2020;1;LIQUIDOS A GRANEL;;;EXPORTACAO/LONGO CURSO;TUP;611.610;0;0
2020;2;CARGA GERAL;ACETATO DE BUTILA/TDI/MDI/HS200/POLIOL/ADN/HEXENE/NPROPANOL;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;180.374;0;0
2020;2;CARGA GERAL;ACIDO FOSFORICO;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;20.275;0;0
2020;2;CARGA GERAL;BARRILHA;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;491.232;0;0
2020;2;CARGA GERAL;CAN 27;;IMPORT/EXPORT/LONGO CURSO;PORTO ORGANIZADO;184.177;0;0
2020;2;CARGA GERAL;CAN 27;;IMPORT/EXPORT/LONGO CURSO;TUP;405.189;0;0
2020;2;CARGA GERAL;CAN/MPK;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;359.957;0;0
2020;2;CARGA GERAL;CAN27;;IMPORTACAO/LONGO CURSO;TUP;295.865;0;0
2020;2;CARGA GERAL;CLORETO DE POTASSIO;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;197.158;0;0
2020;2;CARGA GERAL;CONTAINER;;EXPORTACAO/LONGO CURSO;TUP;0;0;0
2020;2;CARGA GERAL;CONTAINER;;IMPORT/EXPORT/LONGO CURSO;TUP;0;0;0
2020;2;CARGA GERAL;CONTAINERS;;IMPORT/EXPORT/LONGO CURSO;TUP;0;0;0
2020;2;CARGA GERAL;CONTEINERES;;IMPORT/EXPORT/LONGO CURSO;TUP;0;0;0
2020;2;CARGA GERAL;DIESEL;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;192.725;0;0
2020;2;CARGA GERAL;GASOLINA;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;1.858.524;0;0
2020;2;CARGA GERAL;GASOLINA DE AVIACAO;;IMPORTACAO/CABOTAGEM;PORTO ORGANIZADO;118.821;0;0
2020;2;CARGA GERAL;GAV ACRILATOACIDO;;IMPORTACAO/CABOTAGEM;PORTO ORGANIZADO;38.098;0;0
2020;2;CARGA GERAL;GAV ACRILATOACIDO;;IMPORTACAO/CABOTAGEM;TUP;7.620;0;0
2020;2;CARGA GERAL;GLP;;IMPORTACAO/MERCOSUL;PORTO ORGANIZADO;33.729;0;0
2020;2;CARGA GERAL;MAP / NITRATO DE POTASSIO;;IMPORTACAO/LONGO CURSO;TUP;690.826;0;0
2020;2;CARGA GERAL;METANOL;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;29.876;0;0
2020;2;CARGA GERAL;NAFTA;;IMPORTACAO/CABOTAGEM;PORTO ORGANIZADO;59.144;0;0
2020;2;CARGA GERAL;NAFTA;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;13.732;0;0
2020;2;CARGA GERAL;NITRO11/NITEX/NITROLEO;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;255.993;0;0
2020;2;CARGA GERAL;NPK;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;24.200;0;0
2020;2;CARGA GERAL;O DIESEL S500;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;17.242;0;0
2020;2;CARGA GERAL;OLEO DIESEL;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;250.631;0;0
2020;2;CARGA GERAL;OLEO DIESEL S10;;IMPORTACAO/CABOTAGEM;PORTO ORGANIZADO;174.331;0;0
2020;2;CARGA GERAL;OLEO DIESEL/ S10;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;325.592;0;0
2020;2;CARGA GERAL;PORTEINERES;;IMPORT/EXPORT/LONGO CURSO;TUP;10.899;198;4
2020;2;CARGA GERAL;ROCHA FOSFATICA;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;881.625;0;0
2020;2;CARGA GERAL;ROCHA FOSFORICA;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;1.266.400;0;0
2020;2;CARGA GERAL;SAL;;IMPORTACAO/CABOTAGEM;PORTO ORGANIZADO;2.911.010;0;0
2020;2;CARGA GERAL;SAL;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;896.195;0;0
2020;2;CARGA GERAL;SULFATO DE AMONIO;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;297.001;0;0
2020;2;CARGA GERAL;SULFATO DE POTASSIO;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;56.497;0;0
2020;2;CARGA GERAL;SULFATO DE SODIO;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;1.475.558;0;0
2020;2;CARGA GERAL;TRIGO;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;1.937.024;0;0
2020;2;CARGA GERAL;TRIGO A GRANEL;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;4.477.153;0;0
2020;2;CARGA GERAL;UREIA;;IMPORTACAO/LONGO CURSO;TUP;1.437.117;0;0
2020;2;CARGA GERAL;UREIA/MAP/CLORETO;;IMPORTACAO/LONGO CURSO;TUP;1.516.154;0;0
2020;2;CONTEINER;ACUCAR;;EXPORTACAO/LONGO CURSO;TUP;6.320.547;0;0
2020;2;CONTEINER;ACUCAR A GRANEL;;EXPORTACAO/LONGO CURSO;TUP;3.277.130;0;0
2020;2;CONTEINER;ACUCAR GRANEL;;EXPORTACAO/LONGO CURSO;TUP;3.762.336;0;0
2020;2;CONTEINER;ALCOOL;;EXPORTACAO/LONGO CURSO;PORTO ORGANIZADO;417.714;0;0
2020;2;CONTEINER;ATADOS DE CELULOSE;;EXPORTACAO/LONGO CURSO;PORTO ORGANIZADO;5.116.585;2695279;4859
2020;2;CONTEINER;ATADOS DE CELULOSE;;EXPORTACAO/LONGO CURSO;TUP;373.500;186750;262
2020;2;CONTEINER;ATADOS DE CELULOSE;;IMPORT/EXPORT/LONGO CURSO;PORTO ORGANIZADO;388.556;212290;529
2020;2;CONTEINER;ATADOS DE CELULOSE;;IMPORT/EXPORT/LONGO CURSO;TUP;337.875;184600;460
2020;2;CONTEINER;CELULOSE;;EXPORTACAO/LONGO CURSO;PORTO ORGANIZADO;5.614.590;2806338;6274
2020;2;CONTEINER;CELULOSE;;EXPORTACAO/LONGO CURSO;TUP;484.088;242044;400
2020;2;CONTEINER;CELULOSE;;IMPORT/EXPORT/LONGO CURSO;PORTO ORGANIZADO;388.556;212290;529
2020;2;CONTEINER;CELULOSE;;IMPORT/EXPORT/LONGO CURSO;TUP;337.875;184600;460
2020;2;CONTEINER;CONTAINER;;IMPORT/EXPORT/LONGO CURSO;TUP;0;0;0
2020;2;CONTEINER;CONTAINERES;;EXPORTACAO/LONGO CURSO;TUP;0;0;0
2020;2;CONTEINER;CONTEINERES;;IMPORT/EXPORT/LONGO CURSO;TUP;0;0;0
